1 225 290
2 229 307
3 242 331
4 257 357
5 276 374
6 299 395
7 321 401
8 355 391
9 376 363
10 388 346
11 402 324
12 410 301
13 412 277
14 386 225
15 375 217
16 363 215
17 355 221
18 345 228
19 357 231
20 367 232
21 377 230
22 262 230
23 270 225
24 280 222
25 289 226
26 296 234
27 288 235
28 280 236
29 271 235
30 346 201
31 362 192
32 377 185
33 388 191
34 399 201
35 305 207
36 279 197
37 257 192
38 250 199
39 239 219
40 273 309
41 317 314
42 325 316
43 337 313
44 372 306
45 349 337
46 328 345
47 307 343
48 312 243
49 306 276
50 299 277
51 295 288
52 307 298
53 325 306
54 343 298
55 354 285
56 349 272
57 341 271
58 337 241
