1 241 279
2 245 301
3 250 325
4 262 347
5 280 368
6 305 382
7 334 385
8 357 380
9 375 370
10 395 354
11 410 330
12 416 312
13 423 288
14 403 238
15 391 230
16 379 228
17 368 230
18 359 235
19 369 237
20 381 239
21 392 240
22 276 230
23 287 224
24 301 223
25 311 228
26 319 234
27 311 235
28 300 234
29 288 234
30 354 221
31 366 212
32 394 213
33 401 219
34 408 230
35 325 221
36 316 210
37 292 205
38 275 210
39 272 222
40 294 304
41 329 304
42 338 307
43 343 304
44 375 304
45 355 315
46 340 316
47 324 315
48 330 230
49 326 254
50 310 260
51 309 276
52 322 284
53 338 290
54 355 281
55 365 277
56 362 262
57 352 256
58 348 232
